,query
0,"world globe world; world"" world” world's worlds world’s DBPEDIA_ID/world worldwide world: interest interests interest; interest) interested interest: involvement expertise conflict DBPEDIA_ID/conflict_of_interest keen rates rate rates; mortality rates) rate; unemployment increases inflation prices incomes table tables sortable Table table: table; header table) headers talk:Periodic table's "
1,"2008 2009 2007 2010 2006 2011 2005 2004 2003 2002 2001 beijing olympics olympic DBPEDIA_ID/Olympics Olympics"" Olympics? Olympics; Olympics) flagbearer DBPEDIA_ID/China_at_the_2010_Winter_Olympics DBPEDIA_ID/Winter_Olympic_Games medalled "
2,fast slow pace paced slower faster medium speed spin DBPEDIA_ID/fast_bowling easy cars car automobiles vehicles cars; trucks cars) chassis motorcycles vans drivers 
3,clothing clothes apparel footwear garments accessories handbags shoes outerwear jewelry scarves sizes size sized widths sizes; types diameters thicknesses shapes sizes) sizes: 
4,phases phase phases: stages: phases; stages components cycles processes components: types of the and in a to The is building was with the of and a in to The is building floor chamferboards moon DBPEDIA_ID/moon lunar sun moon) DBPEDIA_ID/full_moon moons moon's DBPEDIA_ID/new_moon DBPEDIA_ID/Moon DBPEDIA_ID/Saturn 
5,usa alabama mercado peru lopez 'don salvador georgia ann simon samuel population inhabitants census population; DBPEDIA_ID/population Demographics households populations Population population) DBPEDIA_ID/Ukrainian_Census_(2001) by The in was and on is as to of the state state's states DBPEDIA_ID/state_government state; federal legislature legislatures statehood DBPEDIA_ID/states_of_India legislators 
6,"prime minister DBPEDIA_ID/prime_minister cabinet Prime ministership minister's Minister minister"" ex-prime reshuffle ministers minister Ministers cabinet ministerial ministries ministry DBPEDIA_ID/Cabinet_(government) ministers: secretaries Cabinet of the and in a to The is building was with england scotland america france britain australia rome wales irish simon europe "
7,ipod laptop? computer? PC? desktop? macbook cable? iphone usb Ipod laptop's models model modeling models: modelling Models models; models) simulations simulation agent-based 
8,bittorrent utorrent uTorrent Bittorrent sftp p2p DBPEDIA_ID/BitTorrent_(protocol) Mibbit webserver BitTorrent server; clients customers Clients client partners businesses clientele firms consultants brands customer 
9,olympus digital multi-channel DBPEDIA_ID/Digital_data multichannel DBPEDIA_ID/digital_music digitally DBPEDIA_ID/digital_marketing download multimedia DBPEDIA_ID/digital_media formats slrs 
10,composition compositional DBPEDIA_ID/musical_composition counterpoint orchestral composing DBPEDIA_ID/music_composition orchestration DBPEDIA_ID/Musical_composition Composition DBPEDIA_ID/counterpoint of the and in a to The is building was with the of and a in to The is building floor chamferboards sun sky sun's sunlight moon DBPEDIA_ID/sun sun) sun; earth clouds sunlit 
